,datadate,transaction_no,client_name,country,state,industry,credit_rating,product_category,start_date,end_date,currency,on_bs_amount_aud,off_bs_amount_aud,undrawn_amount_aud,watchlist_stage,department,anzsic_2006_division,anzsic_2006_subdivision,anzsic_2006_group,cpt_industry_classification,ho_industry_classification,product_type,loan_purpose,rating_category,credit_group,security_category,ppp_category,cre_category
0,2019-12-31,67-457-5868,Doyle Group,NZ,WA,,12,Trade Finance,2023-03-21,2025-06-26,SEK,13387190,47330102,34478256,Stage 2,PER,F,F02,F02e,F,A01,Trade Finance02,General Purpose,No Rating,D,Mortgage,ppp3,logistics
1,2019-12-31,24-106-0205,Adams-Powlowski,US,NSW,,03,Trade Finance,2021-03-01,2025-02-07,SEK,2996749,7872509,41336550,Stage 2,BNE,A,A02,A02f,A,B01,Trade Finance02,General Purpose,BB above,A,Mortgage,ppp2,office
2,2019-12-31,12-211-0779,Boyle Group,GB,WA,Marine Transportation,07,Trade Finance,2020-08-31,2025-08-04,CUP,13072947,5472006,26369529,Stage 1,PER,B,B03,B03a,B,B01,Trade Finance02,General Purpose,BB above,B,Guarantee,ppp4,
3,2019-12-31,67-114-4526,"Ondricka, McCullough and Wilderman",NZ,QLD,Business Services,16,Trade Finance,2021-02-10,2025-11-11,CNY,44070038,33156650,16356016,Stage 2,TFD,A,A05,A05b,A,F01,Trade Finance06,External Refinance,BB above,O,Guarantee,,logistics
4,2019-12-31,39-020-6008,Hegmann-Greenfelder,NZ,ACT,Property-Casualty Insurers,01,Corporate Bond,2021-06-22,2025-01-09,NGN,5520118,19736039,21547616,Stage 1,CBD,E,E05,E05b,E,E01,Corporate Bond06,General Purpose,No Rating,H,Guarantee,,residential
5,2019-12-31,48-583-5136,"Rau, Donnelly and Berge",NZ,VIC,Property-Casualty Insurers,10,Trade Finance,2020-09-05,2025-07-12,LKR,12182048,21244031,2286616,Stage 2,PER,B,B04,B04d,B,F01,Trade Finance02,General Purpose,BB above,R,Guarantee,ppp2,hotel
6,2019-12-31,20-340-6812,"Keebler, Von and Jakubowski",CN,QLD,Engineering & Construction,01,Trade Finance,2021-05-26,2025-11-27,IDR,49087173,44853655,47079037,Stage 2,PER,D,D02,D02d,D,D01,Trade Finance02,External Refinance,AA above,K,Mortgage,ppp1,logistics
7,2019-12-31,99-893-1428,"Crona, McCullough and Sanford",US,WA,Telecommunications Equipment,11,Loan,2023-06-03,2025-09-03,JPY,45419555,44881556,40528458,Stage 2,BNE,A,A02,A02d,A,F01,Loan02,Internal Refinance,No Rating,C,Mortgage,ppp2,residential
8,2019-12-31,32-308-7849,Mills-Orn,US,ACT,Clothing/Shoe/Accessory Stores,03,Loan,2020-05-30,2024-12-08,BOB,22663838,13008925,20698711,Stage 2,TFD,E,E04,E04b,E,D01,Loan06,General Purpose,BB above,M,Pledge,ppp3,logistics
9,2019-12-31,11-818-6694,Nikolaus-Schinner,US,QLD,Major Banks,13,Loan,2022-08-20,2025-11-27,CNY,6298439,19225208,6794245,Stage 2,CBD,C,C03,C03b,C,D01,Loan05,External Refinance,AA above,N,Pledge,ppp1,residential
